benchmark_version,rule_id,artifact_type,artifact_id,link_status
v1,RN-001,OPERATION,createOrder,VALIDATED
v1,RN-001,TEST,shouldCreateOrderForActiveCustomer,VALIDATED
v1,RN-001,TEST,shouldRejectOrderForBlockedCustomer,VALIDATED
v1,RN-002,OPERATION,addOrderItem,VALIDATED
v1,RN-002,TEST,shouldAddActiveProductToOrder,VALIDATED
v1,RN-002,TEST,shouldRejectInactiveProduct,VALIDATED
v1,RN-003,OPERATION,addOrderItem,VALIDATED
v1,RN-003,OPERATION,updateOrderItem,VALIDATED
v1,RN-003,TEST,shouldAddItemWithPositiveQuantity,VALIDATED
v1,RN-003,TEST,shouldRejectItemWithNonPositiveQuantity,VALIDATED
v1,RN-004,OPERATION,addOrderItem,VALIDATED
v1,RN-004,OPERATION,updateOrderItem,VALIDATED
v1,RN-004,TEST,shouldAddItemWhenStockIsAvailable,VALIDATED
v1,RN-004,TEST,shouldRejectQuantityGreaterThanStock,VALIDATED
v1,RN-005,OPERATION,addOrderItem,VALIDATED
v1,RN-005,OPERATION,updateOrderItem,VALIDATED
v1,RN-005,OPERATION,removeOrderItem,VALIDATED
v1,RN-005,TEST,shouldModifyItemsWhileOrderIsDraft,VALIDATED
v1,RN-005,TEST,shouldRejectItemModificationAfterCheckout,VALIDATED
v1,RN-006,OPERATION,checkoutOrder,VALIDATED
v1,RN-006,TEST,shouldCheckoutOrderWithAtLeastOneItem,VALIDATED
v1,RN-006,TEST,shouldRejectCheckoutOfEmptyOrder,VALIDATED
v1,RN-007,OPERATION,checkoutOrder,VALIDATED
v1,RN-007,TEST,shouldCheckoutWhenStockRemainsAvailable,VALIDATED
v1,RN-007,TEST,shouldRejectCheckoutWhenStockBecameInsufficient,VALIDATED
v1,RN-008,OPERATION,applyCoupon,VALIDATED
v1,RN-008,TEST,shouldApplyActiveCouponWithinValidityPeriod,VALIDATED
v1,RN-008,TEST,shouldRejectExpiredOrInactiveCoupon,VALIDATED
v1,RN-009,OPERATION,applyCoupon,VALIDATED
v1,RN-009,TEST,shouldApplyCouponWhenMinimumValueIsReached,VALIDATED
v1,RN-009,TEST,shouldRejectCouponBelowMinimumOrderValue,VALIDATED
v1,RN-010,OPERATION,applyCoupon,VALIDATED
v1,RN-010,OPERATION,removeCoupon,VALIDATED
v1,RN-010,TEST,shouldAllowSingleCouponOnOrder,VALIDATED
v1,RN-010,TEST,shouldRejectSecondCouponOnSameOrder,VALIDATED
v1,RN-011,OPERATION,applyCoupon,VALIDATED
v1,RN-011,OPERATION,removeCoupon,VALIDATED
v1,RN-011,TEST,shouldChangeCouponWhileOrderIsDraft,VALIDATED
v1,RN-011,TEST,shouldRejectCouponChangeAfterCheckout,VALIDATED
v1,RN-012,OPERATION,payOrder,VALIDATED
v1,RN-012,TEST,shouldPayPendingOrder,VALIDATED
v1,RN-012,TEST,shouldRejectPaymentForOrderNotPendingPayment,VALIDATED
v1,RN-013,OPERATION,payOrder,VALIDATED
v1,RN-013,TEST,shouldAcceptPaymentMatchingOrderTotal,VALIDATED
v1,RN-013,TEST,shouldRejectPaymentWithIncorrectAmount,VALIDATED
v1,RN-014,OPERATION,cancelOrder,VALIDATED
v1,RN-014,TEST,shouldCancelDraftOrPendingOrder,VALIDATED
v1,RN-014,TEST,shouldRejectCancellationOfPaidOrShippedOrder,VALIDATED
v1,RN-015,OPERATION,shipOrder,VALIDATED
v1,RN-015,TEST,shouldCreateShipmentForPaidOrder,VALIDATED
v1,RN-015,TEST,shouldRejectShipmentForUnpaidOrder,VALIDATED
